Date : 2024-07-16 19:50:36
Directory : c:\Users\TheF0x\Documents\GitHub\Graduation-Project
Total : 10361 files,  2768946 codes, 239865 comments, 515251 blanks, all 3524062 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_decimal.pyi                                                                       | Python           |          1 |          0 |          1 |          2 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_dummy_thread.pyi                                                                  | Python           |         17 |          0 |          5 |         22 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_imp.pyi                                                                           | Python           |         16 |          0 |          2 |         18 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_importlib_modulespec.pyi                                                          | Python           |         35 |         10 |          6 |         51 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_json.pyi                                                                          | Python           |         34 |          1 |          4 |         39 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_markupbase.pyi                                                                    | Python           |          7 |          0 |          2 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_operator.pyi                                                                      | Python           |         58 |          1 |          2 |         61 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_osx_support.pyi                                                                   | Python           |         27 |          0 |          7 |         34 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_posixsubprocess.pyi                                                               | Python           |         21 |          1 |          3 |         25 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_pydecimal.pyi                                                                     | Python           |          1 |          2 |          1 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_sitebuiltins.pyi                                                                  | Python           |         13 |          0 |          4 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_stat.pyi                                                                          | Python           |         64 |          0 |          2 |         66 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_thread.pyi                                                                        | Python           |         34 |          0 |          8 |         42 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_threading_local.pyi                                                               | Python           |         13 |          0 |          4 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_tkinter.pyi                                                                       | Python           |         54 |         32 |          8 |         94 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_tracemalloc.pyi                                                                   | Python           |         14 |          0 |          4 |         18 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\_winapi.pyi                                                                        | Python           |        129 |          0 |          6 |        135 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\abc.pyi                                                                            | Python           |         11 |          2 |          8 |         21 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\ast.pyi                                                                            | Python           |        178 |         13 |         17 |        208 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\__init__.pyi                                                               | Python           |        108 |          0 |          9 |        117 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\base_events.pyi                                                            | Python           |        339 |         11 |          5 |        355 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\base_futures.pyi                                                           | Python           |         15 |          0 |          8 |         23 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\base_subprocess.pyi                                                        | Python           |         66 |          0 |          7 |         73 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\base_tasks.pyi                                                             | Python           |          7 |          0 |          3 |         10 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\compat.pyi                                                                 | Python           |          7 |          0 |          2 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\constants.pyi                                                              | Python           |         12 |          0 |          3 |         15 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\coroutines.pyi                                                             | Python           |          5 |          0 |          3 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\events.pyi                                                                 | Python           |        480 |         12 |         11 |        503 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\exceptions.pyi                                                             | Python           |         14 |          0 |          2 |         16 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\format_helpers.pyi                                                         | Python           |         17 |          0 |          4 |         21 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\futures.pyi                                                                | Python           |         56 |          0 |         10 |         66 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\locks.pyi                                                                  | Python           |         58 |          1 |         10 |         69 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\log.pyi                                                                    | Python           |          2 |          0 |          2 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\proactor_events.pyi                                                        | Python           |         64 |          0 |         10 |         74 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\protocols.pyi                                                              | Python           |         22 |          0 |          6 |         28 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\queues.pyi                                                                 | Python           |         31 |          0 |          6 |         37 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\runners.pyi                                                                | Python           |          8 |          0 |          3 |         11 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\selector_events.pyi                                                        | Python           |          5 |          0 |          3 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\sslproto.pyi                                                               | Python           |        121 |          0 |         13 |        134 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\staggered.pyi                                                              | Python           |         10 |          0 |          3 |         13 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\streams.pyi                                                                | Python           |         94 |          0 |         11 |        105 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\subprocess.pyi                                                             | Python           |         54 |          0 |          7 |         61 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\tasks.pyi                                                                  | Python           |        189 |          6 |         10 |        205 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\threads.pyi                                                                | Python           |          5 |          0 |          3 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\transports.pyi                                                             | Python           |         39 |          0 |          8 |         47 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\trsock.pyi                                                                 | Python           |         84 |          1 |          2 |         87 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\unix_events.pyi                                                            | Python           |         44 |          0 |         14 |         58 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\windows_events.pyi                                                         | Python           |         67 |          0 |         10 |         77 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\asyncio\windows_utils.pyi                                                          | Python           |         22 |          0 |          5 |         27 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\atexit.pyi                                                                         | Python           |          6 |          0 |          2 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\builtins.pyi                                                                       | Python           |      1,291 |         20 |         77 |      1,388 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\collections\__init__.pyi                                                           | Python           |        301 |         10 |         17 |        328 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\collections\abc.pyi                                                                | Python           |         27 |          0 |          1 |         28 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\compileall.pyi                                                                     | Python           |        101 |          1 |          7 |        109 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\concurrent\__init__.pyi                                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\concurrent\futures\__init__.pyi                                                    | Python           |         18 |          0 |          3 |         21 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\concurrent\futures\_base.pyi                                                       | Python           |        111 |          4 |         19 |        134 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\concurrent\futures\process.pyi                                                     | Python           |         22 |          0 |          7 |         29 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\concurrent\futures\thread.pyi                                                      | Python           |         36 |          0 |          7 |         43 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\configparser.pyi                                                                   | Python           |        223 |          7 |         23 |        253 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\copyreg.pyi                                                                        | Python           |         13 |          0 |          4 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\dbm\__init__.pyi                                                                   | Python           |         20 |          0 |          5 |         25 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\dbm\dumb.pyi                                                                       | Python           |         21 |          0 |          5 |         26 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\dbm\gnu.pyi                                                                        | Python           |         29 |          2 |          5 |         36 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\dbm\ndbm.pyi                                                                       | Python           |         27 |          2 |          6 |         35 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\__init__.pyi                                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\archive_util.pyi                                                         | Python           |         11 |          0 |          2 |         13 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\bcppcompiler.pyi                                                         | Python           |          2 |          0 |          2 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\ccompiler.pyi                                                            | Python           |        147 |          0 |          4 |        151 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\cmd.pyi                                                                  | Python           |         66 |          0 |          2 |         68 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\__init__.pyi                                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist.pyi                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist_dumb.pyi                                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist_msi.pyi                                                    | Python           |          5 |          0 |          2 |          7 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist_packager.pyi                                               | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist_rpm.pyi                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\bdist_wininst.pyi                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\build.pyi                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\build_clib.pyi                                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\build_ext.pyi                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\build_py.pyi                                                     | Python           |          6 |          0 |          3 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\build_scripts.pyi                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\check.pyi                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\clean.pyi                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\config.pyi                                                       | Python           |         83 |          1 |          4 |         88 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install.pyi                                                      | Python           |         12 |          0 |          3 |         15 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install_data.pyi                                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install_egg_info.pyi                                             | Python           |          9 |          0 |          2 |         11 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install_headers.pyi                                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install_lib.pyi                                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\install_scripts.pyi                                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\register.pyi                                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\sdist.pyi                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\command\upload.pyi                                                       | Python           |          7 |          0 |          2 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\config.pyi                                                               | Python           |         15 |          0 |          3 |         18 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\core.pyi                                                                 | Python           |         47 |          0 |          2 |         49 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\cygwinccompiler.pyi                                                      | Python           |          3 |          0 |          2 |          5 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\debug.pyi                                                                | Python           |          1 |          0 |          1 |          2 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\dep_util.pyi                                                             | Python           |          4 |          0 |          2 |          6 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\dir_util.pyi                                                             | Python           |         14 |          0 |          2 |         16 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\dist.pyi                                                                 | Python           |         56 |          0 |          3 |         59 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\errors.pyi                                                               | Python           |         19 |          0 |          1 |         20 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\extension.pyi                                                            | Python           |         21 |          0 |          2 |         23 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\fancy_getopt.pyi                                                         | Python           |         16 |          1 |          5 |         22 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\file_util.pyi                                                            | Python           |         13 |          0 |          2 |         15 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\filelist.pyi                                                             | Python           |          1 |          0 |          1 |          2 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\log.pyi                                                                  | Python           |         22 |          0 |          4 |         26 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\msvccompiler.pyi                                                         | Python           |          2 |          0 |          2 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\spawn.pyi                                                                | Python           |          3 |          0 |          2 |          5 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\sysconfig.pyi                                                            | Python           |         12 |          0 |          3 |         15 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\text_file.pyi                                                            | Python           |         20 |          0 |          2 |         22 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\unixccompiler.pyi                                                        | Python           |          2 |          0 |          2 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\util.pyi                                                                 | Python           |         22 |          0 |          2 |         24 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\distutils\version.pyi                                                              | Python           |         34 |          0 |          5 |         39 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\__init__.pyi                                                                 | Python           |          7 |         14 |          3 |         24 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\charset.pyi                                                                  | Python           |         25 |          0 |          4 |         29 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\contentmanager.pyi                                                           | Python           |          9 |          0 |          3 |         12 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\encoders.pyi                                                                 | Python           |          5 |          0 |          2 |          7 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\errors.pyi                                                                   | Python           |         16 |          0 |          2 |         18 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\feedparser.pyi                                                               | Python           |         18 |          0 |          4 |         22 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\generator.pyi                                                                | Python           |         15 |          0 |          4 |         19 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\header.pyi                                                                   | Python           |         24 |          0 |          3 |         27 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\headerregistry.pyi                                                           | Python           |         73 |          0 |         18 |         91 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\iterators.pyi                                                                | Python           |          4 |          0 |          2 |          6 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\message.pyi                                                                  | Python           |         82 |          0 |          6 |         88 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\__init__.pyi                                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\application.pyi                                                         | Python           |         14 |          0 |          3 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\audio.pyi                                                               | Python           |         14 |          0 |          3 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\base.pyi                                                                | Python           |          6 |          0 |          3 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\image.pyi                                                               | Python           |         14 |          0 |          3 |         17 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\message.pyi                                                             | Python           |          6 |          0 |          2 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\multipart.pyi                                                           | Python           |         15 |          0 |          3 |         18 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\nonmultipart.pyi                                                        | Python           |          2 |          0 |          2 |          4 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\mime\text.pyi                                                                | Python           |          7 |          0 |          2 |          9 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\parser.pyi                                                                   | Python           |         22 |          0 |          6 |         28 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\policy.pyi                                                                   | Python           |         49 |          0 |          6 |         55 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\email\utils.pyi                                                                    | Python           |         35 |          0 |          6 |         41 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\encodings\__init__.pyi                                                             | Python           |          4 |          1 |          3 |          8 |
| c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\jedi\third_party\typeshed\stdlib\3\encodings\utf_8.pyi                                                                | Python           |         11 |          0 |          5 |         16 |
