"filename", "language", "Python", "pip requirements", "Markdown", "JSON", "Database", "CSV", "Properties", "Batch", "PowerShell", "XML", "C++", "C", "Visual Basic", "HTML", "JavaScript", "XSL", "TSV", "CSS", "reStructuredText", "toml", "Ini", "Lua", "Shell Script", "comment", "blank", "total"
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\manifold\tests\test_spectral_embedding.py", "Python", 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 68, 542
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\manifold\tests\test_t_sne.py", "Python", 918, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 165, 1182
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\__init__.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 181
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_base.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 42, 200
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_classification.py", "Python", 2694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 491, 3255
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_pairwise_distances_reduction\__init__.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 4, 113
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py", "Python", 629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 117, 765
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\confusion_matrix.py", "Python", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90, 483
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\det_curve.py", "Python", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 333
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\precision_recall_curve.py", "Python", 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 505
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\regression.py", "Python", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79, 406
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\roc_curve.py", "Python", 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 420
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_common_curve_display.py", "Python", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41, 270
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_confusion_matrix_display.py", "Python", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 77, 381
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_det_curve_display.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 107
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_precision_recall_display.py", "Python", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 61, 362
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_predict_error_display.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 162
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_plot\tests\test_roc_curve_display.py", "Python", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48, 316
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_ranking.py", "Python", 1609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 331, 2015
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_regression.py", "Python", 1476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 300, 1825
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\_scorer.py", "Python", 786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 149, 955
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\__init__.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\_bicluster.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 108
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\_supervised.py", "Python", 974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 277, 1299
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\_unsupervised.py", "Python", 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 82, 465
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\tests\test_bicluster.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 57
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\tests\test_common.py", "Python", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 220
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\tests\test_supervised.py", "Python", 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 82, 483
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\cluster\tests\test_unsupervised.py", "Python", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 56, 414
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\pairwise.py", "Python", 1958, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 460, 2523
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\tests\test_classification.py", "Python", 2178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 456, 2867
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\tests\test_common.py", "Python", 1441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 259, 1840
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\tests\test_dist_metrics.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 90, 423
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\venv\Lib\site-packages\sklearn\metrics\tests\test_pairwise.py", "Python", 1160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 266, 1621
